Exp: 1 - 	 Ger: 1 - 	 Best:    0.25564 - 	 Mean: 3080981.80787 - 	 AQreal:   50.78165  	 
Exp: 1 - 	 Ger: 42 - 	 Best:    0.22665 - 	 Mean:    0.22955 - 	 AQreal:   27.74490  	 
Exp: 1 - 	 Ger: 43 - 	 Best:    0.22665 - 	 Mean:    0.22946 - 	 AQreal:   27.74490  	 
Exp: 1 - 	 Ger: 44 - 	 Best:    0.22665 - 	 Mean:    0.22944 - 	 AQreal:   27.74490  	 
Exp: 1 - 	 Ger: 45 - 	 Best:    0.22665 - 	 Mean:    0.22932 - 	 AQreal:   41.61619  	 
Exp: 1 - 	 Ger: 46 - 	 Best:    0.22665 - 	 Mean:    0.22917 - 	 AQreal:   41.61619  	 
Exp: 1 - 	 Ger: 47 - 	 Best:    0.22665 - 	 Mean:    0.22908 - 	 AQreal:   41.61619  	 
Exp: 1 - 	 Ger: 48 - 	 Best:    0.22665 - 	 Mean:    0.22897 - 	 AQreal:   41.61619  	 
Exp: 1 - 	 Ger: 49 - 	 Best:    0.22593 - 	 Mean:    0.22883 - 	 AQreal:   41.61619  	 
Exp: 1 - 	 Ger: 50 - 	 Best:    0.22593 - 	 Mean:    0.22874 - 	 AQreal:   41.08603  	 
Exp: 2 - 	 Ger: 1 - 	 Best:    0.25311 - 	 Mean: 297046141.82349 - 	 AQreal:   50.78165  	 
Exp: 2 - 	 Ger: 2 - 	 Best:    0.24944 - 	 Mean:    9.48343 - 	 AQreal:   50.78165  	 
Exp: 2 - 	 Ger: 3 - 	 Best:    0.24944 - 	 Mean:    0.51412 - 	 AQreal:   50.78165  	 
Exp: 2 - 	 Ger: 4 - 	 Best:    0.24416 - 	 Mean:    0.36400 - 	 AQreal:   50.78165  	 
Exp: 2 - 	 Ger: 5 - 	 Best:    0.23948 - 	 Mean:    0.31168 - 	 AQreal:   45.45639  	 
Exp: 2 - 	 Ger: 6 - 	 Best:    0.23948 - 	 Mean:    0.27219 - 	 AQreal:   45.45639  	 
Exp: 2 - 	 Ger: 7 - 	 Best:    0.23531 - 	 Mean:    0.25416 - 	 AQreal:   45.45639  	 
Exp: 2 - 	 Ger: 8 - 	 Best:    0.23531 - 	 Mean:    0.24952 - 	 AQreal:   45.45639  	 
Exp: 2 - 	 Ger: 9 - 	 Best:    0.23531 - 	 Mean:    0.24645 - 	 AQreal:   45.45639  	 
Exp: 2 - 	 Ger: 10 - 	 Best:    0.23265 - 	 Mean:    0.24424 - 	 AQreal:   35.84734  	 
Exp: 2 - 	 Ger: 11 - 	 Best:    0.23265 - 	 Mean:    0.24232 - 	 AQreal:   35.84734  	 
Exp: 2 - 	 Ger: 12 - 	 Best:    0.23265 - 	 Mean:    0.24078 - 	 AQreal:   35.84734  	 
Exp: 2 - 	 Ger: 13 - 	 Best:    0.23265 - 	 Mean:    0.23950 - 	 AQreal:   35.84734  	 
Exp: 2 - 	 Ger: 14 - 	 Best:    0.23037 - 	 Mean:    0.23850 - 	 AQreal:   35.84734  	 
Exp: 2 - 	 Ger: 15 - 	 Best:    0.23037 - 	 Mean:    0.23712 - 	 AQreal:   26.03458  	 
Exp: 2 - 	 Ger: 16 - 	 Best:    0.23037 - 	 Mean:    0.23663 - 	 AQreal:   26.03458  	 
Exp: 2 - 	 Ger: 17 - 	 Best:    0.22846 - 	 Mean:    0.23573 - 	 AQreal:   26.03458  	 
Exp: 2 - 	 Ger: 18 - 	 Best:    0.22846 - 	 Mean:    0.23509 - 	 AQreal:   26.03458  	 
Exp: 2 - 	 Ger: 19 - 	 Best:    0.22846 - 	 Mean:    0.23456 - 	 AQreal:   26.03458  	 
Exp: 2 - 	 Ger: 20 - 	 Best:    0.22846 - 	 Mean:    0.23424 - 	 AQreal:   26.44770  	 
Exp: 2 - 	 Ger: 21 - 	 Best:    0.22846 - 	 Mean:    0.23366 - 	 AQreal:   26.44770  	 
Exp: 2 - 	 Ger: 22 - 	 Best:    0.22846 - 	 Mean:    0.23337 - 	 AQreal:   26.44770  	 
Exp: 2 - 	 Ger: 23 - 	 Best:    0.22846 - 	 Mean:    0.23316 - 	 AQreal:   26.44770  	 
Exp: 2 - 	 Ger: 24 - 	 Best:    0.22846 - 	 Mean:    0.23279 - 	 AQreal:   26.44770  	 
Exp: 2 - 	 Ger: 25 - 	 Best:    0.22846 - 	 Mean:    0.23264 - 	 AQreal:   23.81542  	 
Exp: 2 - 	 Ger: 26 - 	 Best:    0.22846 - 	 Mean:    0.23235 - 	 AQreal:   23.81542  	 
Exp: 2 - 	 Ger: 27 - 	 Best:    0.22812 - 	 Mean:    0.23191 - 	 AQreal:   23.81542  	 
Exp: 2 - 	 Ger: 28 - 	 Best:    0.22812 - 	 Mean:    0.23167 - 	 AQreal:   23.81542  	 
Exp: 2 - 	 Ger: 29 - 	 Best:    0.22812 - 	 Mean:    0.23159 - 	 AQreal:   23.81542  	 
Exp: 2 - 	 Ger: 30 - 	 Best:    0.22776 - 	 Mean:    0.23132 - 	 AQreal:   30.47284  	 
Exp: 2 - 	 Ger: 31 - 	 Best:    0.22776 - 	 Mean:    0.23121 - 	 AQreal:   30.47284  	 
Exp: 2 - 	 Ger: 32 - 	 Best:    0.22776 - 	 Mean:    0.23117 - 	 AQreal:   30.47284  	 
Exp: 2 - 	 Ger: 33 - 	 Best:    0.22756 - 	 Mean:    0.23100 - 	 AQreal:   30.47284  	 
Exp: 2 - 	 Ger: 34 - 	 Best:    0.22756 - 	 Mean:    0.23077 - 	 AQreal:   30.47284  	 
Exp: 2 - 	 Ger: 35 - 	 Best:    0.22756 - 	 Mean:    0.23070 - 	 AQreal:   17.66581  	 
Exp: 2 - 	 Ger: 36 - 	 Best:    0.22756 - 	 Mean:    0.23056 - 	 AQreal:   17.66581  	 
Exp: 2 - 	 Ger: 37 - 	 Best:    0.22756 - 	 Mean:    0.23041 - 	 AQreal:   17.66581  	 
Exp: 2 - 	 Ger: 38 - 	 Best:    0.22756 - 	 Mean:    0.23032 - 	 AQreal:   17.66581  	 
Exp: 2 - 	 Ger: 39 - 	 Best:    0.22756 - 	 Mean:    0.23021 - 	 AQreal:   17.66581  	 
Exp: 2 - 	 Ger: 40 - 	 Best:    0.22642 - 	 Mean:    0.22988 - 	 AQreal:   17.68890  	 
Exp: 2 - 	 Ger: 41 - 	 Best:    0.22642 - 	 Mean:    0.22976 - 	 AQreal:   17.68890  	 
Exp: 2 - 	 Ger: 42 - 	 Best:    0.22642 - 	 Mean:    0.22972 - 	 AQreal:   17.68890  	 
Exp: 2 - 	 Ger: 43 - 	 Best:    0.22642 - 	 Mean:    0.22955 - 	 AQreal:   17.68890  	 
Exp: 2 - 	 Ger: 44 - 	 Best:    0.22642 - 	 Mean:    0.22952 - 	 AQreal:   17.68890  	 
Exp: 2 - 	 Ger: 45 - 	 Best:    0.22642 - 	 Mean:    0.22944 - 	 AQreal:   17.34925  	 
Exp: 2 - 	 Ger: 46 - 	 Best:    0.22642 - 	 Mean:    0.22936 - 	 AQreal:   17.34925  	 
Exp: 2 - 	 Ger: 47 - 	 Best:    0.22642 - 	 Mean:    0.22925 - 	 AQreal:   17.34925  	 
Exp: 2 - 	 Ger: 48 - 	 Best:    0.22642 - 	 Mean:    0.22918 - 	 AQreal:   17.34925  	 
Exp: 2 - 	 Ger: 49 - 	 Best:    0.22642 - 	 Mean:    0.22913 - 	 AQreal:   17.34925  	 
Exp: 2 - 	 Ger: 50 - 	 Best:    0.22642 - 	 Mean:    0.22902 - 	 AQreal:   11.02811  	 
Exp: 3 - 	 Ger: 1 - 	 Best:    0.25220 - 	 Mean: 1308490.59891 - 	 AQreal:   50.78165  	 
Exp: 3 - 	 Ger: 2 - 	 Best:    0.25220 - 	 Mean:   30.46241 - 	 AQreal:   50.78165  	 
Exp: 3 - 	 Ger: 3 - 	 Best:    0.25220 - 	 Mean:    0.70741 - 	 AQreal:   50.78165  	 
Exp: 3 - 	 Ger: 4 - 	 Best:    0.24680 - 	 Mean:    0.34122 - 	 AQreal:   50.78165  	 
Exp: 3 - 	 Ger: 5 - 	 Best:    0.24680 - 	 Mean:    0.28552 - 	 AQreal:   44.79299  	 
Exp: 3 - 	 Ger: 6 - 	 Best:    0.24680 - 	 Mean:    0.27178 - 	 AQreal:   44.79299  	 
Exp: 3 - 	 Ger: 7 - 	 Best:    0.24177 - 	 Mean:    0.26535 - 	 AQreal:   44.79299  	 
Exp: 3 - 	 Ger: 8 - 	 Best:    0.24177 - 	 Mean:    0.26055 - 	 AQreal:   44.79299  	 
Exp: 3 - 	 Ger: 9 - 	 Best:    0.24177 - 	 Mean:    0.25778 - 	 AQreal:   44.79299  	 
Exp: 3 - 	 Ger: 10 - 	 Best:    0.24136 - 	 Mean:    0.25393 - 	 AQreal:   42.83129  	 
Exp: 3 - 	 Ger: 11 - 	 Best:    0.24136 - 	 Mean:    0.25201 - 	 AQreal:   42.83129  	 
Exp: 3 - 	 Ger: 12 - 	 Best:    0.23925 - 	 Mean:    0.24985 - 	 AQreal:   42.83129  	 
Exp: 3 - 	 Ger: 13 - 	 Best:    0.23072 - 	 Mean:    0.24767 - 	 AQreal:   42.83129  	 
Exp: 3 - 	 Ger: 14 - 	 Best:    0.23072 - 	 Mean:    0.24654 - 	 AQreal:   42.83129  	 
Exp: 3 - 	 Ger: 15 - 	 Best:    0.23072 - 	 Mean:    0.24539 - 	 AQreal:   22.15156  	 
Exp: 3 - 	 Ger: 16 - 	 Best:    0.23072 - 	 Mean:    0.24405 - 	 AQreal:   22.15156  	 
Exp: 3 - 	 Ger: 17 - 	 Best:    0.23072 - 	 Mean:    0.24168 - 	 AQreal:   22.15156  	 
Exp: 3 - 	 Ger: 18 - 	 Best:    0.23072 - 	 Mean:    0.24008 - 	 AQreal:   22.15156  	 
Exp: 3 - 	 Ger: 19 - 	 Best:    0.23072 - 	 Mean:    0.23874 - 	 AQreal:   22.15156  	 
Exp: 3 - 	 Ger: 20 - 	 Best:    0.23072 - 	 Mean:    0.23811 - 	 AQreal:   25.21769  	 
Exp: 3 - 	 Ger: 21 - 	 Best:    0.22972 - 	 Mean:    0.23692 - 	 AQreal:   25.21769  	 
Exp: 3 - 	 Ger: 22 - 	 Best:    0.22972 - 	 Mean:    0.23640 - 	 AQreal:   25.21769  	 
Exp: 3 - 	 Ger: 23 - 	 Best:    0.22972 - 	 Mean:    0.23596 - 	 AQreal:   25.21769  	 
Exp: 3 - 	 Ger: 24 - 	 Best:    0.22972 - 	 Mean:    0.23540 - 	 AQreal:   25.21769  	 
Exp: 3 - 	 Ger: 25 - 	 Best:    0.22926 - 	 Mean:    0.23494 - 	 AQreal:   24.01046  	 
Exp: 3 - 	 Ger: 26 - 	 Best:    0.22926 - 	 Mean:    0.23454 - 	 AQreal:   24.01046  	 
Exp: 3 - 	 Ger: 27 - 	 Best:    0.22926 - 	 Mean:    0.23416 - 	 AQreal:   24.01046  	 
Exp: 3 - 	 Ger: 28 - 	 Best:    0.22926 - 	 Mean:    0.23370 - 	 AQreal:   24.01046  	 
Exp: 3 - 	 Ger: 29 - 	 Best:    0.22736 - 	 Mean:    0.23325 - 	 AQreal:   24.01046  	 
Exp: 3 - 	 Ger: 30 - 	 Best:    0.22736 - 	 Mean:    0.23292 - 	 AQreal:   21.66761  	 
Exp: 3 - 	 Ger: 31 - 	 Best:    0.22736 - 	 Mean:    0.23273 - 	 AQreal:   21.66761  	 
Exp: 3 - 	 Ger: 32 - 	 Best:    0.22736 - 	 Mean:    0.23247 - 	 AQreal:   21.66761  	 
Exp: 3 - 	 Ger: 33 - 	 Best:    0.22736 - 	 Mean:    0.23200 - 	 AQreal:   21.66761  	 
Exp: 3 - 	 Ger: 34 - 	 Best:    0.22736 - 	 Mean:    0.23164 - 	 AQreal:   21.66761  	 
Exp: 3 - 	 Ger: 35 - 	 Best:    0.22736 - 	 Mean:    0.23150 - 	 AQreal:   25.30534  	 
Exp: 3 - 	 Ger: 36 - 	 Best:    0.22719 - 	 Mean:    0.23121 - 	 AQreal:   25.30534  	 
Exp: 3 - 	 Ger: 37 - 	 Best:    0.22719 - 	 Mean:    0.23091 - 	 AQreal:   25.30534  	 
Exp: 3 - 	 Ger: 38 - 	 Best:    0.22719 - 	 Mean:    0.23071 - 	 AQreal:   25.30534  	 
Exp: 3 - 	 Ger: 39 - 	 Best:    0.22719 - 	 Mean:    0.23047 - 	 AQreal:   25.30534  	 
Exp: 3 - 	 Ger: 40 - 	 Best:    0.22719 - 	 Mean:    0.23042 - 	 AQreal:   36.60170  	 
Exp: 3 - 	 Ger: 41 - 	 Best:    0.22719 - 	 Mean:    0.23035 - 	 AQreal:   36.60170  	 
Exp: 3 - 	 Ger: 42 - 	 Best:    0.22719 - 	 Mean:    0.23023 - 	 AQreal:   36.60170  	 
Exp: 3 - 	 Ger: 43 - 	 Best:    0.22719 - 	 Mean:    0.23015 - 	 AQreal:   36.60170  	 
Exp: 3 - 	 Ger: 44 - 	 Best:    0.22719 - 	 Mean:    0.23000 - 	 AQreal:   36.60170  	 
Exp: 3 - 	 Ger: 45 - 	 Best:    0.22719 - 	 Mean:    0.22982 - 	 AQreal:   27.55251  	 
Exp: 3 - 	 Ger: 46 - 	 Best:    0.22719 - 	 Mean:    0.22969 - 	 AQreal:   27.55251  	 
Exp: 3 - 	 Ger: 47 - 	 Best:    0.22719 - 	 Mean:    0.22969 - 	 AQreal:   27.55251  	 
Exp: 3 - 	 Ger: 48 - 	 Best:    0.22719 - 	 Mean:    0.22965 - 	 AQreal:   27.55251  	 
Exp: 3 - 	 Ger: 49 - 	 Best:    0.22719 - 	 Mean:    0.22956 - 	 AQreal:   27.55251  	 
Exp: 3 - 	 Ger: 50 - 	 Best:    0.22719 - 	 Mean:    0.22948 - 	 AQreal:   30.21735  	 
Exp: 4 - 	 Ger: 1 - 	 Best:    0.25228 - 	 Mean: 32749261.97308 - 	 AQreal:   50.78165  	 
Exp: 4 - 	 Ger: 2 - 	 Best:    0.25228 - 	 Mean:    0.74639 - 	 AQreal:   50.78165  	 
Exp: 4 - 	 Ger: 3 - 	 Best:    0.25228 - 	 Mean:    0.41341 - 	 AQreal:   50.78165  	 
Exp: 4 - 	 Ger: 4 - 	 Best:    0.25228 - 	 Mean:    0.33669 - 	 AQreal:   50.78165  	 
Exp: 4 - 	 Ger: 5 - 	 Best:    0.24917 - 	 Mean:    0.29647 - 	 AQreal:   42.99196  	 
Exp: 4 - 	 Ger: 6 - 	 Best:    0.24917 - 	 Mean:    0.27322 - 	 AQreal:   42.99196  	 
Exp: 4 - 	 Ger: 7 - 	 Best:    0.24917 - 	 Mean:    0.26514 - 	 AQreal:   42.99196  	 
Exp: 4 - 	 Ger: 8 - 	 Best:    0.23859 - 	 Mean:    0.25930 - 	 AQreal:   42.99196  	 
Exp: 4 - 	 Ger: 9 - 	 Best:    0.23859 - 	 Mean:    0.25628 - 	 AQreal:   42.99196  	 
Exp: 4 - 	 Ger: 10 - 	 Best:    0.23859 - 	 Mean:    0.25386 - 	 AQreal:   31.11075  	 
Exp: 4 - 	 Ger: 11 - 	 Best:    0.23733 - 	 Mean:    0.25144 - 	 AQreal:   31.11075  	 
Exp: 4 - 	 Ger: 12 - 	 Best:    0.23445 - 	 Mean:    0.24777 - 	 AQreal:   31.11075  	 
Exp: 4 - 	 Ger: 13 - 	 Best:    0.23445 - 	 Mean:    0.24367 - 	 AQreal:   31.11075  	 
Exp: 4 - 	 Ger: 14 - 	 Best:    0.23202 - 	 Mean:    0.24100 - 	 AQreal:   31.11075  	 
Exp: 4 - 	 Ger: 15 - 	 Best:    0.23202 - 	 Mean:    0.23913 - 	 AQreal:   21.73839  	 
Exp: 4 - 	 Ger: 16 - 	 Best:    0.23090 - 	 Mean:    0.23781 - 	 AQreal:   21.73839  	 
Exp: 4 - 	 Ger: 17 - 	 Best:    0.23090 - 	 Mean:    0.23649 - 	 AQreal:   21.73839  	 
Exp: 4 - 	 Ger: 18 - 	 Best:    0.23090 - 	 Mean:    0.23526 - 	 AQreal:   21.73839  	 
Exp: 4 - 	 Ger: 19 - 	 Best:    0.22942 - 	 Mean:    0.23464 - 	 AQreal:   21.73839  	 
Exp: 4 - 	 Ger: 20 - 	 Best:    0.22942 - 	 Mean:    0.23394 - 	 AQreal:   17.64596  	 
Exp: 4 - 	 Ger: 21 - 	 Best:    0.22731 - 	 Mean:    0.23314 - 	 AQreal:   17.64596  	 
Exp: 4 - 	 Ger: 22 - 	 Best:    0.22731 - 	 Mean:    0.23250 - 	 AQreal:   17.64596  	 
Exp: 4 - 	 Ger: 23 - 	 Best:    0.22731 - 	 Mean:    0.23210 - 	 AQreal:   17.64596  	 
Exp: 4 - 	 Ger: 24 - 	 Best:    0.22731 - 	 Mean:    0.23146 - 	 AQreal:   17.64596  	 
Exp: 4 - 	 Ger: 25 - 	 Best:    0.22709 - 	 Mean:    0.23064 - 	 AQreal:   27.83012  	 
Exp: 4 - 	 Ger: 26 - 	 Best:    0.22574 - 	 Mean:    0.23032 - 	 AQreal:   27.83012  	 
Exp: 4 - 	 Ger: 27 - 	 Best:    0.22574 - 	 Mean:    0.22992 - 	 AQreal:   27.83012  	 
Exp: 4 - 	 Ger: 28 - 	 Best:    0.22574 - 	 Mean:    0.22951 - 	 AQreal:   27.83012  	 
Exp: 4 - 	 Ger: 29 - 	 Best:    0.22574 - 	 Mean:    0.22923 - 	 AQreal:   27.83012  	 
Exp: 4 - 	 Ger: 30 - 	 Best:    0.22574 - 	 Mean:    0.22909 - 	 AQreal:   22.54514  	 
Exp: 4 - 	 Ger: 31 - 	 Best:    0.22574 - 	 Mean:    0.22894 - 	 AQreal:   22.54514  	 
Exp: 4 - 	 Ger: 32 - 	 Best:    0.22574 - 	 Mean:    0.22876 - 	 AQreal:   22.54514  	 
Exp: 4 - 	 Ger: 33 - 	 Best:    0.22574 - 	 Mean:    0.22867 - 	 AQreal:   22.54514  	 
Exp: 4 - 	 Ger: 34 - 	 Best:    0.22574 - 	 Mean:    0.22859 - 	 AQreal:   22.54514  	 
Exp: 4 - 	 Ger: 35 - 	 Best:    0.22574 - 	 Mean:    0.22848 - 	 AQreal:   16.93737  	 
Exp: 4 - 	 Ger: 36 - 	 Best:    0.22574 - 	 Mean:    0.22833 - 	 AQreal:   16.93737  	 
Exp: 4 - 	 Ger: 37 - 	 Best:    0.22574 - 	 Mean:    0.22826 - 	 AQreal:   16.93737  	 
Exp: 4 - 	 Ger: 38 - 	 Best:    0.22574 - 	 Mean:    0.22819 - 	 AQreal:   16.93737  	 
Exp: 4 - 	 Ger: 39 - 	 Best:    0.22574 - 	 Mean:    0.22814 - 	 AQreal:   16.93737  	 
Exp: 4 - 	 Ger: 40 - 	 Best:    0.22546 - 	 Mean:    0.22807 - 	 AQreal:   14.03838  	 
Exp: 4 - 	 Ger: 41 - 	 Best:    0.22546 - 	 Mean:    0.22802 - 	 AQreal:   14.03838  	 
Exp: 4 - 	 Ger: 42 - 	 Best:    0.22546 - 	 Mean:    0.22794 - 	 AQreal:   14.03838  	 
Exp: 4 - 	 Ger: 43 - 	 Best:    0.22546 - 	 Mean:    0.22793 - 	 AQreal:   14.03838  	 
Exp: 4 - 	 Ger: 44 - 	 Best:    0.22546 - 	 Mean:    0.22788 - 	 AQreal:   14.03838  	 
Exp: 4 - 	 Ger: 45 - 	 Best:    0.22546 - 	 Mean:    0.22783 - 	 AQreal:   11.62850  	 
Exp: 4 - 	 Ger: 46 - 	 Best:    0.22546 - 	 Mean:    0.22779 - 	 AQreal:   11.62850  	 
Exp: 4 - 	 Ger: 47 - 	 Best:    0.22546 - 	 Mean:    0.22770 - 	 AQreal:   11.62850  	 
Exp: 4 - 	 Ger: 48 - 	 Best:    0.22546 - 	 Mean:    0.22766 - 	 AQreal:   11.62850  	 
Exp: 4 - 	 Ger: 49 - 	 Best:    0.22472 - 	 Mean:    0.22753 - 	 AQreal:   11.62850  	 
Exp: 4 - 	 Ger: 50 - 	 Best:    0.22472 - 	 Mean:    0.22744 - 	 AQreal:   10.79403  	 
Exp: 5 - 	 Ger: 1 - 	 Best:    0.24375 - 	 Mean: 665753.67913 - 	 AQreal:   50.78165  	 
Exp: 5 - 	 Ger: 2 - 	 Best:    0.24326 - 	 Mean:    5.14214 - 	 AQreal:   50.78165  	 
Exp: 5 - 	 Ger: 3 - 	 Best:    0.24326 - 	 Mean:    0.37275 - 	 AQreal:   50.78165  	 
Exp: 5 - 	 Ger: 4 - 	 Best:    0.24326 - 	 Mean:    0.30418 - 	 AQreal:   50.78165  	 
Exp: 5 - 	 Ger: 5 - 	 Best:    0.24326 - 	 Mean:    0.28267 - 	 AQreal:   48.13399  	 
Exp: 5 - 	 Ger: 6 - 	 Best:    0.23781 - 	 Mean:    0.26835 - 	 AQreal:   48.13399  	 
Exp: 5 - 	 Ger: 7 - 	 Best:    0.23744 - 	 Mean:    0.25837 - 	 AQreal:   48.13399  	 
Exp: 5 - 	 Ger: 8 - 	 Best:    0.23744 - 	 Mean:    0.25288 - 	 AQreal:   48.13399  	 
Exp: 5 - 	 Ger: 9 - 	 Best:    0.23209 - 	 Mean:    0.24812 - 	 AQreal:   48.13399  	 
Exp: 5 - 	 Ger: 10 - 	 Best:    0.23209 - 	 Mean:    0.24496 - 	 AQreal:   46.30883  	 
Exp: 5 - 	 Ger: 11 - 	 Best:    0.22992 - 	 Mean:    0.24184 - 	 AQreal:   46.30883  	 
Exp: 5 - 	 Ger: 12 - 	 Best:    0.22992 - 	 Mean:    0.23914 - 	 AQreal:   46.30883  	 
Exp: 5 - 	 Ger: 13 - 	 Best:    0.22992 - 	 Mean:    0.23744 - 	 AQreal:   46.30883  	 
Exp: 5 - 	 Ger: 14 - 	 Best:    0.22992 - 	 Mean:    0.23599 - 	 AQreal:   46.30883  	 
Exp: 5 - 	 Ger: 15 - 	 Best:    0.22992 - 	 Mean:    0.23459 - 	 AQreal:   46.07332  	 
Exp: 5 - 	 Ger: 16 - 	 Best:    0.22725 - 	 Mean:    0.23341 - 	 AQreal:   46.07332  	 
Exp: 5 - 	 Ger: 17 - 	 Best:    0.22725 - 	 Mean:    0.23285 - 	 AQreal:   46.07332  	 
Exp: 5 - 	 Ger: 18 - 	 Best:    0.22725 - 	 Mean:    0.23211 - 	 AQreal:   46.07332  	 
Exp: 5 - 	 Ger: 19 - 	 Best:    0.22725 - 	 Mean:    0.23180 - 	 AQreal:   46.07332  	 
Exp: 5 - 	 Ger: 20 - 	 Best:    0.22649 - 	 Mean:    0.23131 - 	 AQreal:   46.29026  	 
Exp: 5 - 	 Ger: 21 - 	 Best:    0.22649 - 	 Mean:    0.23112 - 	 AQreal:   46.29026  	 
