{Undefined function or variable 'numGenesQbit'.

Error in <a href="matlab:matlab.internal.language.introspective.errorDocCallback('aeiq_br_real', 'D:\Problemas\Steam Generator\Testes Finais\AEIQ\aeiq_br_real.m', 190)" style="font-weight:bold">aeiq_br_real</a> (<a href="matlab: opentoline('D:\Problemas\Steam Generator\Testes Finais\AEIQ\aeiq_br_real.m',190,0)">line 190</a>)
        contadorQbit=zeros(numClassic,numGenesQbit);

Error in <a href="matlab:matlab.internal.language.introspective.errorDocCallback('Experimento_PRINCIPAL_AEIQ_geral', 'D:\Problemas\Steam Generator\Testes Finais\AEIQ\Experimento_PRINCIPAL_AEIQ_geral.m', 75)" style="font-weight:bold">Experimento_PRINCIPAL_AEIQ_geral</a> (<a href="matlab: opentoline('D:\Problemas\Steam Generator\Testes Finais\AEIQ\Experimento_PRINCIPAL_AEIQ_geral.m',75,0)">line 75</a>)
[sol{exp}, classic,  evobestFitness{exp}, trace] = aeiq_br_real(num_var, numPulses, numClassic, ...
} 
opentoline('D:\Problemas\Steam Generator\Testes Finais\AEIQ\Experimento_PRINCIPAL_AEIQ_geral.m',75,0)
opentoline('D:\Problemas\Steam Generator\Testes Finais\AEIQ\aeiq_br_real.m',190,0)
Experimento_PRINCIPAL_AEIQ_geral
Exp: 1 - 	 Ger: 1 - 	 Best:    2.19153 - 	 Mean: 1736.25358 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    1.72375 - 	 Mean:    2.11956 - 	 AQreal:   61.73081  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    1.72375 - 	 Mean:    2.06893 - 	 AQreal:   61.73081  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    1.72375 - 	 Mean:    2.03663 - 	 AQreal:   61.73081  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    1.72375 - 	 Mean:    2.01374 - 	 AQreal:   61.73081  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    1.72375 - 	 Mean:    1.99830 - 	 AQreal:   53.64082  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    1.72375 - 	 Mean:    1.97689 - 	 AQreal:   53.64082  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    1.72375 - 	 Mean:    1.95907 - 	 AQreal:   53.64082  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    1.72375 - 	 Mean:    1.93564 - 	 AQreal:   53.64082  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    1.72375 - 	 Mean:    1.91534 - 	 AQreal:   53.64082  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    1.71382 - 	 Mean:    1.89831 - 	 AQreal:   27.41735  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    1.71382 - 	 Mean:    1.88572 - 	 AQreal:   27.41735  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    1.71382 - 	 Mean:    1.86327 - 	 AQreal:   27.41735  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    1.71382 - 	 Mean:    1.85347 - 	 AQreal:   27.41735  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    1.71382 - 	 Mean:    1.84859 - 	 AQreal:   27.41735  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    1.71382 - 	 Mean:    1.83941 - 	 AQreal:   25.60265  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    1.61614 - 	 Mean:    1.83041 - 	 AQreal:   25.60265  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    1.61614 - 	 Mean:    1.82150 - 	 AQreal:   25.60265  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    1.61614 - 	 Mean:    1.81154 - 	 AQreal:   25.60265  	 
Exp: 1 - 	 Ger: 29 - 	 Best:    1.61614 - 	 Mean:    1.81004 - 	 AQreal:   25.60265  	 
Exp: 1 - 	 Ger: 30 - 	 Best:    1.61614 - 	 Mean:    1.80427 - 	 AQreal:   22.08935  	 
Exp: 1 - 	 Ger: 31 - 	 Best:    1.61614 - 	 Mean:    1.79897 - 	 AQreal:   22.08935  	 
Exp: 1 - 	 Ger: 32 - 	 Best:    1.61614 - 	 Mean:    1.79390 - 	 AQreal:   22.08935  	 
Exp: 1 - 	 Ger: 33 - 	 Best:    1.61614 - 	 Mean:    1.79020 - 	 AQreal:   22.08935  	 
Exp: 1 - 	 Ger: 34 - 	 Best:    1.61614 - 	 Mean:    1.78973 - 	 AQreal:   22.08935  	 
Exp: 1 - 	 Ger: 35 - 	 Best:    1.61614 - 	 Mean:    1.78614 - 	 AQreal:   18.39761  	 
Exp: 1 - 	 Ger: 36 - 	 Best:    1.61614 - 	 Mean:    1.78113 - 	 AQreal:   18.39761  	 
Exp: 1 - 	 Ger: 37 - 	 Best:    1.61614 - 	 Mean:    1.78015 - 	 AQreal:   18.39761  	 
Exp: 1 - 	 Ger: 38 - 	 Best:    1.61614 - 	 Mean:    1.77978 - 	 AQreal:   18.39761  	 
Exp: 1 - 	 Ger: 39 - 	 Best:    1.61614 - 	 Mean:    1.77380 - 	 AQreal:   18.39761  	 
Exp: 1 - 	 Ger: 40 - 	 Best:    1.61614 - 	 Mean:    1.77326 - 	 AQreal:   18.67240  	 
Exp: 1 - 	 Ger: 41 - 	 Best:    1.61614 - 	 Mean:    1.77128 - 	 AQreal:   18.67240  	 
Exp: 1 - 	 Ger: 42 - 	 Best:    1.61614 - 	 Mean:    1.76909 - 	 AQreal:   18.67240  	 
Exp: 1 - 	 Ger: 43 - 	 Best:    1.61614 - 	 Mean:    1.76749 - 	 AQreal:   18.67240  	 
Exp: 1 - 	 Ger: 44 - 	 Best:    1.61614 - 	 Mean:    1.76444 - 	 AQreal:   18.67240  	 
Exp: 1 - 	 Ger: 45 - 	 Best:    1.61614 - 	 Mean:    1.76358 - 	 AQreal:   17.29805  	 
Exp: 1 - 	 Ger: 46 - 	 Best:    1.61614 - 	 Mean:    1.76325 - 	 AQreal:   17.29805  	 
Exp: 1 - 	 Ger: 47 - 	 Best:    1.61614 - 	 Mean:    1.76325 - 	 AQreal:   17.29805  	 
Exp: 1 - 	 Ger: 48 - 	 Best:    1.61614 - 	 Mean:    1.76132 - 	 AQreal:   17.29805  	 
Exp: 1 - 	 Ger: 49 - 	 Best:    1.61614 - 	 Mean:    1.76132 - 	 AQreal:   17.29805  	 
Exp: 1 - 	 Ger: 50 - 	 Best:    1.61614 - 	 Mean:    1.76115 - 	 AQreal:   35.88430  	 
Exp: 1 - 	 Ger: 51 - 	 Best:    1.61614 - 	 Mean:    1.76033 - 	 AQreal:   35.88430  	 
Exp: 1 - 	 Ger: 52 - 	 Best:    1.61614 - 	 Mean:    1.75767 - 	 AQreal:   35.88430  	 
Exp: 1 - 	 Ger: 53 - 	 Best:    1.61614 - 	 Mean:    1.75763 - 	 AQreal:   35.88430  	 
Exp: 1 - 	 Ger: 54 - 	 Best:    1.61614 - 	 Mean:    1.75450 - 	 AQreal:   35.88430  	 
Exp: 1 - 	 Ger: 55 - 	 Best:    1.61614 - 	 Mean:    1.75374 - 	 AQreal:   31.20369  	 
Exp: 1 - 	 Ger: 56 - 	 Best:    1.61614 - 	 Mean:    1.75374 - 	 AQreal:   31.20369  	 
Exp: 1 - 	 Ger: 57 - 	 Best:    1.61614 - 	 Mean:    1.75372 - 	 AQreal:   31.20369  	 
Exp: 1 - 	 Ger: 58 - 	 Best:    1.61614 - 	 Mean:    1.75372 - 	 AQreal:   31.20369  	 
Exp: 1 - 	 Ger: 59 - 	 Best:    1.61614 - 	 Mean:    1.75372 - 	 AQreal:   31.20369  	 
Exp: 1 - 	 Ger: 60 - 	 Best:    1.61614 - 	 Mean:    1.75372 - 	 AQreal:   24.50268  	 
Exp: 1 - 	 Ger: 61 - 	 Best:    1.61614 - 	 Mean:    1.75346 - 	 AQreal:   24.50268  	 
Exp: 1 - 	 Ger: 62 - 	 Best:    1.61614 - 	 Mean:    1.75333 - 	 AQreal:   24.50268  	 
if system_dependent('IsDebugMode')==1, dbquit; end
Experimento_PRINCIPAL_AEIQ_geral
Exp: 1 - 	 Ger: 1 - 	 Best:    2.28085 - 	 Mean:  121.76210 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 2 - 	 Best:    2.28085 - 	 Mean:    4.08271 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 3 - 	 Best:    1.93417 - 	 Mean:    3.26807 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 4 - 	 Best:    1.93417 - 	 Mean:    2.83858 - 	 AQreal:   75.78165  	 
Exp: 1 - 	 Ger: 5 - 	 Best:    1.93417 - 	 Mean:    2.61519 - 	 AQreal:   61.99054  	 
Exp: 1 - 	 Ger: 6 - 	 Best:    1.93417 - 	 Mean:    2.44146 - 	 AQreal:   61.99054  	 
Exp: 1 - 	 Ger: 7 - 	 Best:    1.82277 - 	 Mean:    2.32434 - 	 AQreal:   61.99054  	 
Exp: 1 - 	 Ger: 8 - 	 Best:    1.82277 - 	 Mean:    2.23318 - 	 AQreal:   61.99054  	 
Exp: 1 - 	 Ger: 9 - 	 Best:    1.82277 - 	 Mean:    2.17171 - 	 AQreal:   61.99054  	 
Exp: 1 - 	 Ger: 10 - 	 Best:    1.82277 - 	 Mean:    2.12355 - 	 AQreal:   38.00773  	 
Exp: 1 - 	 Ger: 11 - 	 Best:    1.82277 - 	 Mean:    2.07562 - 	 AQreal:   38.00773  	 
Exp: 1 - 	 Ger: 12 - 	 Best:    1.82277 - 	 Mean:    2.03307 - 	 AQreal:   38.00773  	 
Exp: 1 - 	 Ger: 13 - 	 Best:    1.82277 - 	 Mean:    2.00708 - 	 AQreal:   38.00773  	 
Exp: 1 - 	 Ger: 14 - 	 Best:    1.82277 - 	 Mean:    1.98637 - 	 AQreal:   38.00773  	 
Exp: 1 - 	 Ger: 15 - 	 Best:    1.82277 - 	 Mean:    1.95659 - 	 AQreal:   30.79004  	 
Exp: 1 - 	 Ger: 16 - 	 Best:    1.80137 - 	 Mean:    1.93649 - 	 AQreal:   30.79004  	 
Exp: 1 - 	 Ger: 17 - 	 Best:    1.80137 - 	 Mean:    1.92553 - 	 AQreal:   30.79004  	 
Exp: 1 - 	 Ger: 18 - 	 Best:    1.80137 - 	 Mean:    1.91528 - 	 AQreal:   30.79004  	 
Exp: 1 - 	 Ger: 19 - 	 Best:    1.80079 - 	 Mean:    1.90319 - 	 AQreal:   30.79004  	 
Exp: 1 - 	 Ger: 20 - 	 Best:    1.80079 - 	 Mean:    1.89825 - 	 AQreal:   32.88899  	 
Exp: 1 - 	 Ger: 21 - 	 Best:    1.72375 - 	 Mean:    1.88147 - 	 AQreal:   32.88899  	 
Exp: 1 - 	 Ger: 22 - 	 Best:    1.72375 - 	 Mean:    1.87196 - 	 AQreal:   32.88899  	 
Exp: 1 - 	 Ger: 23 - 	 Best:    1.72375 - 	 Mean:    1.87118 - 	 AQreal:   32.88899  	 
Exp: 1 - 	 Ger: 24 - 	 Best:    1.72375 - 	 Mean:    1.86536 - 	 AQreal:   32.88899  	 
Exp: 1 - 	 Ger: 25 - 	 Best:    1.71133 - 	 Mean:    1.84935 - 	 AQreal:   37.12408  	 
Exp: 1 - 	 Ger: 26 - 	 Best:    1.67609 - 	 Mean:    1.84293 - 	 AQreal:   37.12408  	 
Exp: 1 - 	 Ger: 27 - 	 Best:    1.67609 - 	 Mean:    1.83913 - 	 AQreal:   37.12408  	 
Exp: 1 - 	 Ger: 28 - 	 Best:    1.67609 - 	 Mean:    1.83351 - 	 AQreal:   37.12408  	 
Exp: 1 - 	 Ger: 29 - 	 Best:    1.67609 - 	 Mean:    1.83017 - 	 AQreal:   37.12408  	 
Exp: 1 - 	 Ger: 30 - 	 Best:    1.67609 - 	 Mean:    1.82666 - 	 AQreal:   22.32940  	 
Exp: 1 - 	 Ger: 31 - 	 Best:    1.67609 - 	 Mean:    1.82500 - 	 AQreal:   22.32940  	 
Exp: 1 - 	 Ger: 32 - 	 Best:    1.67609 - 	 Mean:    1.82270 - 	 AQreal:   22.32940  	 
Exp: 1 - 	 Ger: 33 - 	 Best:    1.67609 - 	 Mean:    1.82033 - 	 AQreal:   22.32940  	 
Exp: 1 - 	 Ger: 34 - 	 Best:    1.67609 - 	 Mean:    1.81762 - 	 AQreal:   22.32940  	 
Exp: 1 - 	 Ger: 35 - 	 Best:    1.67609 - 	 Mean:    1.81498 - 	 AQreal:   19.71185  	 
Exp: 1 - 	 Ger: 36 - 	 Best:    1.67609 - 	 Mean:    1.81294 - 	 AQreal:   19.71185  	 
Exp: 1 - 	 Ger: 37 - 	 Best:    1.67609 - 	 Mean:    1.81010 - 	 AQreal:   19.71185  	 
Exp: 1 - 	 Ger: 38 - 	 Best:    1.67609 - 	 Mean:    1.80215 - 	 AQreal:   19.71185  	 
Exp: 1 - 	 Ger: 39 - 	 Best:    1.67609 - 	 Mean:    1.79951 - 	 AQreal:   19.71185  	 
Exp: 1 - 	 Ger: 40 - 	 Best:    1.67609 - 	 Mean:    1.79698 - 	 AQreal:   19.20294  	 
Exp: 1 - 	 Ger: 41 - 	 Best:    1.67609 - 	 Mean:    1.79576 - 	 AQreal:   19.20294  	 
Exp: 1 - 	 Ger: 42 - 	 Best:    1.67609 - 	 Mean:    1.79220 - 	 AQreal:   19.20294  	 
Exp: 1 - 	 Ger: 43 - 	 Best:    1.67609 - 	 Mean:    1.79206 - 	 AQreal:   19.20294  	 
Exp: 1 - 	 Ger: 44 - 	 Best:    1.67609 - 	 Mean:    1.79206 - 	 AQreal:   19.20294  	 
Exp: 1 - 	 Ger: 45 - 	 Best:    1.67609 - 	 Mean:    1.78940 - 	 AQreal:   18.07286  	 
Exp: 1 - 	 Ger: 46 - 	 Best:    1.67609 - 	 Mean:    1.78774 - 	 AQreal:   18.07286  	 
Exp: 1 - 	 Ger: 47 - 	 Best:    1.67609 - 	 Mean:    1.78774 - 	 AQreal:   18.07286  	 
Exp: 1 - 	 Ger: 48 - 	 Best:    1.67609 - 	 Mean:    1.78655 - 	 AQreal:   18.07286  	 
Exp: 1 - 	 Ger: 49 - 	 Best:    1.67609 - 	 Mean:    1.78452 - 	 AQreal:   18.07286  	 
Exp: 1 - 	 Ger: 50 - 	 Best:    1.67609 - 	 Mean:    1.78126 - 	 AQreal:   14.35285  	 
Exp: 2 - 	 Ger: 1 - 	 Best:    2.08260 - 	 Mean: 3938.57537 - 	 AQreal:   75.78165  	 
Exp: 2 - 	 Ger: 2 - 	 Best:    2.08260 - 	 Mean:    9.95964 - 	 AQreal:   75.78165  	 
Exp: 2 - 	 Ger: 3 - 	 Best:    2.08260 - 	 Mean:    3.76405 - 	 AQreal:   75.78165  	 
Exp: 2 - 	 Ger: 4 - 	 Best:    2.08260 - 	 Mean:    3.08670 - 	 AQreal:   75.78165  	 
Exp: 2 - 	 Ger: 5 - 	 Best:    1.97017 - 	 Mean:    2.69823 - 	 AQreal:   59.62592  	 
Exp: 2 - 	 Ger: 6 - 	 Best:    1.97017 - 	 Mean:    2.45038 - 	 AQreal:   59.62592  	 
Exp: 2 - 	 Ger: 7 - 	 Best:    1.97017 - 	 Mean:    2.28694 - 	 AQreal:   59.62592  	 
Exp: 2 - 	 Ger: 8 - 	 Best:    1.89042 - 	 Mean:    2.20591 - 	 AQreal:   59.62592  	 
Exp: 2 - 	 Ger: 9 - 	 Best:    1.85837 - 	 Mean:    2.14895 - 	 AQreal:   59.62592  	 
Exp: 2 - 	 Ger: 10 - 	 Best:    1.85837 - 	 Mean:    2.09459 - 	 AQreal:   54.36604  	 
Exp: 2 - 	 Ger: 11 - 	 Best:    1.80372 - 	 Mean:    2.01673 - 	 AQreal:   54.36604  	 
Exp: 2 - 	 Ger: 12 - 	 Best:    1.80372 - 	 Mean:    1.98981 - 	 AQreal:   54.36604  	 
Exp: 2 - 	 Ger: 13 - 	 Best:    1.80372 - 	 Mean:    1.96808 - 	 AQreal:   54.36604  	 
Exp: 2 - 	 Ger: 14 - 	 Best:    1.80372 - 	 Mean:    1.95144 - 	 AQreal:   54.36604  	 
Exp: 2 - 	 Ger: 15 - 	 Best:    1.80372 - 	 Mean:    1.93095 - 	 AQreal:   49.66368  	 
Exp: 2 - 	 Ger: 16 - 	 Best:    1.80372 - 	 Mean:    1.91692 - 	 AQreal:   49.66368  	 
Exp: 2 - 	 Ger: 17 - 	 Best:    1.80372 - 	 Mean:    1.91180 - 	 AQreal:   49.66368  	 
Exp: 2 - 	 Ger: 18 - 	 Best:    1.79650 - 	 Mean:    1.89709 - 	 AQreal:   49.66368  	 
Exp: 2 - 	 Ger: 19 - 	 Best:    1.79650 - 	 Mean:    1.89443 - 	 AQreal:   49.66368  	 
Exp: 2 - 	 Ger: 20 - 	 Best:    1.79650 - 	 Mean:    1.88191 - 	 AQreal:   44.71361  	 
Exp: 2 - 	 Ger: 21 - 	 Best:    1.78090 - 	 Mean:    1.86964 - 	 AQreal:   44.71361  	 
Exp: 2 - 	 Ger: 22 - 	 Best:    1.77777 - 	 Mean:    1.86000 - 	 AQreal:   44.71361  	 
Exp: 2 - 	 Ger: 23 - 	 Best:    1.77777 - 	 Mean:    1.85743 - 	 AQreal:   44.71361  	 
Exp: 2 - 	 Ger: 24 - 	 Best:    1.77777 - 	 Mean:    1.84884 - 	 AQreal:   44.71361  	 
Exp: 2 - 	 Ger: 25 - 	 Best:    1.77777 - 	 Mean:    1.84364 - 	 AQreal:   33.70999  	 
Exp: 2 - 	 Ger: 26 - 	 Best:    1.77777 - 	 Mean:    1.83863 - 	 AQreal:   33.70999  	 
Exp: 2 - 	 Ger: 27 - 	 Best:    1.77777 - 	 Mean:    1.83639 - 	 AQreal:   33.70999  	 
Exp: 2 - 	 Ger: 28 - 	 Best:    1.77777 - 	 Mean:    1.83332 - 	 AQreal:   33.70999  	 
Exp: 2 - 	 Ger: 29 - 	 Best:    1.77777 - 	 Mean:    1.83098 - 	 AQreal:   33.70999  	 
Exp: 2 - 	 Ger: 30 - 	 Best:    1.77777 - 	 Mean:    1.82863 - 	 AQreal:   26.95945  	 
Exp: 2 - 	 Ger: 31 - 	 Best:    1.77777 - 	 Mean:    1.82863 - 	 AQreal:   26.95945  	 
Exp: 2 - 	 Ger: 32 - 	 Best:    1.77777 - 	 Mean:    1.82499 - 	 AQreal:   26.95945  	 
Exp: 2 - 	 Ger: 33 - 	 Best:    1.72274 - 	 Mean:    1.81925 - 	 AQreal:   26.95945  	 
Exp: 2 - 	 Ger: 34 - 	 Best:    1.72274 - 	 Mean:    1.81580 - 	 AQreal:   26.95945  	 
Exp: 2 - 	 Ger: 35 - 	 Best:    1.72274 - 	 Mean:    1.81200 - 	 AQreal:   25.05016  	 
Exp: 2 - 	 Ger: 36 - 	 Best:    1.72274 - 	 Mean:    1.81197 - 	 AQreal:   25.05016  	 
Exp: 2 - 	 Ger: 37 - 	 Best:    1.72274 - 	 Mean:    1.80875 - 	 AQreal:   25.05016  	 
Exp: 2 - 	 Ger: 38 - 	 Best:    1.72274 - 	 Mean:    1.80645 - 	 AQreal:   25.05016  	 
Exp: 2 - 	 Ger: 39 - 	 Best:    1.72274 - 	 Mean:    1.80327 - 	 AQreal:   25.05016  	 
Exp: 2 - 	 Ger: 40 - 	 Best:    1.72274 - 	 Mean:    1.80311 - 	 AQreal:   21.28291  	 
Exp: 2 - 	 Ger: 41 - 	 Best:    1.72274 - 	 Mean:    1.80133 - 	 AQreal:   21.28291  	 
Exp: 2 - 	 Ger: 42 - 	 Best:    1.72274 - 	 Mean:    1.79985 - 	 AQreal:   21.28291  	 
Exp: 2 - 	 Ger: 43 - 	 Best:    1.72274 - 	 Mean:    1.79786 - 	 AQreal:   21.28291  	 
Exp: 2 - 	 Ger: 44 - 	 Best:    1.72274 - 	 Mean:    1.79786 - 	 AQreal:   21.28291  	 
Exp: 2 - 	 Ger: 45 - 	 Best:    1.72274 - 	 Mean:    1.79682 - 	 AQreal:   21.17699  	 
Exp: 2 - 	 Ger: 46 - 	 Best:    1.72274 - 	 Mean:    1.79682 - 	 AQreal:   21.17699  	 
Exp: 2 - 	 Ger: 47 - 	 Best:    1.70594 - 	 Mean:    1.79335 - 	 AQreal:   21.17699  	 
Exp: 2 - 	 Ger: 48 - 	 Best:    1.70594 - 	 Mean:    1.79144 - 	 AQreal:   21.17699  	 
Exp: 2 - 	 Ger: 49 - 	 Best:    1.70594 - 	 Mean:    1.79070 - 	 AQreal:   21.17699  	 
Exp: 2 - 	 Ger: 50 - 	 Best:    1.70594 - 	 Mean:    1.78811 - 	 AQreal:   19.01262  	 
Exp: 3 - 	 Ger: 1 - 	 Best:    2.59201 - 	 Mean:   75.86778 - 	 AQreal:   75.78165  	 
Exp: 3 - 	 Ger: 2 - 	 Best:    2.35455 - 	 Mean:    5.63047 - 	 AQreal:   75.78165  	 
Exp: 3 - 	 Ger: 3 - 	 Best:    1.90852 - 	 Mean:    3.76171 - 	 AQreal:   75.78165  	 
Exp: 3 - 	 Ger: 4 - 	 Best:    1.90852 - 	 Mean:    3.01060 - 	 AQreal:   75.78165  	 
Exp: 3 - 	 Ger: 5 - 	 Best:    1.90852 - 	 Mean:    2.67198 - 	 AQreal:   68.99061  	 
Exp: 3 - 	 Ger: 6 - 	 Best:    1.90852 - 	 Mean:    2.49256 - 	 AQreal:   68.99061  	 
Exp: 3 - 	 Ger: 7 - 	 Best:    1.90852 - 	 Mean:    2.33025 - 	 AQreal:   68.99061  	 
Exp: 3 - 	 Ger: 8 - 	 Best:    1.90852 - 	 Mean:    2.24635 - 	 AQreal:   68.99061  	 
Exp: 3 - 	 Ger: 9 - 	 Best:    1.89974 - 	 Mean:    2.19049 - 	 AQreal:   68.99061  	 
Exp: 3 - 	 Ger: 10 - 	 Best:    1.89974 - 	 Mean:    2.16556 - 	 AQreal:   68.96365  	 
Exp: 3 - 	 Ger: 11 - 	 Best:    1.89974 - 	 Mean:    2.13563 - 	 AQreal:   68.96365  	 
